text,category
"IndiGo Airlines
Fuel diesel 5L
Amount Paid 599",Travel
"Mahanagar Gas
Water bill charges
Bill Amount INR 999",Utilities
"Flipkart
Bluetooth Speaker
Amount Paid INR 99",Shopping
"Reliance Digital
Backpack
Order Total Rs 450",Shopping
"Airtel Broadband
Electricity bill units
Total Payable Rs 450",Utilities
"Adobe Creative Cloud
Cloud hosting charges
Amount Charged 720",Software
"Airtel Broadband
Broadband monthly charge
Amount Due 1850",Utilities
"Blinkit
Milk packet x4
Amount Paid INR 450",Groceries
"Reliance Digital
Backpack
Order Total Rs 399",Shopping
"Delhi Jal Board
Piped gas charges
Amount Due 720",Utilities
"Faasos
Paneer Tikka
Bill Total 1200",Food
"Udemy
Certification fee
Amount Paid INR 450",Education
"BookMyShow
Movie ticket x2
Amount Paid 720",Entertainment
"BookMyShow
Monthly subscription
Amount Paid 149",Entertainment
"NoBroker Rent Payment
Monthly house rent
Rent Amount 1850",Rent
"Delhi Jal Board
Water bill charges
Total Payable Rs 99",Utilities
"Jio Recharge
DTH recharge
Amount Paid INR 599",Bills
"Nykaa
Cotton T-Shirt
Grand Total 1200",Shopping
"Ajio
Backpack
Amount Paid INR 599",Shopping
"DMart
Milk packet x4
Order Total 1850",Groceries
"Amazon.in
Running Shoes
Grand Total 399",Shopping
"Vodafone Idea
DTH recharge
Bill Amount 999",Bills
"Delhi Jal Board
Electricity bill units
Amount Due 1200",Utilities
"BookMyShow
Movie ticket x2
Amount Paid 250",Entertainment
"Local Stationery Shop
Service charge
Amount Paid 250",Other
"Local Stationery Shop
Haircut service
Total Rs 1200",Other
"Indian Oil Petrol Pump
Train ticket PNR
Grand Total INR 720",Travel
"Ola Cabs
Hotel booking
Amount Paid 99",Travel
"Indian Oil Petrol Pump
Flight booking
Total Fare Rs 999",Travel
"BSES Electricity
Water bill charges
Amount Due 1850",Utilities
"Blinkit
Vegetables assorted
Grand Total Rs 599",Groceries
"Figma Inc
Cloud hosting charges
Total Rs 1200",Software
"Spotify Premium
Monthly subscription
Amount Paid 1850",Entertainment
"Fortis Clinic
Health checkup package
Bill Total 99",Healthcare
"INOX Movies
Popcorn combo
Amount Paid 399",Entertainment
"Barbeque Nation
Cold Coffee
Bill Total 1850",Food
"Netflix
Concert ticket
Amount Paid 99",Entertainment
"PG Accommodation
Rent for flat
Total Rent Paid Rs 250",Rent
"Apollo Pharmacy
Diagnostic test
Bill Total 99",Healthcare
"Vodafone Idea
DTH recharge
Bill Amount 999",Bills
"Vodafone Idea
DTH recharge
Amount Paid INR 450",Bills
"Airtel Postpaid
DTH recharge
Amount Paid INR 450",Bills
"BookMyShow
Monthly subscription
Grand Total INR 999",Entertainment
"Zepto
Rice 10kg
Amount Paid INR 1200",Groceries
"Adobe Creative Cloud
Cloud hosting charges
Total Amount USD 399",Software
"INOX Movies
Concert ticket
Grand Total INR 999",Entertainment
